video_id,schema,prompt_version,lab_json_exists,lab_json_matches,v10_cache_exists,graphml_exists,graphml_size_bytes,graphml_parses,graphml_nodes,graphml_edges,unknown_services_count,unknown_services_list,verdict
rHLuQTO6eoo,A,,0,0,0,1,5778,1,9,13,0,,v9_probable
rPGLNw1cOGM,A,,0,0,0,1,4834,1,8,8,0,,v9_probable
rRvy5Fbei1s,A,,0,0,0,1,4878,1,11,6,0,,v9_probable
RU__HBEMDvQ,A,,0,0,0,1,4331,1,8,7,0,,v9_probable
ruOhUEooJH0,A,,0,0,0,1,4528,1,11,5,0,,v9_probable
RxAmb57NCPM,A,,0,0,0,1,6228,1,12,11,0,,v9_probable
S-JSSZZaa94,A,,0,0,0,1,3456,1,7,3,0,,v9_probable
S3G4pb-x8tQ,B,v9,0,0,0,1,4538,1,8,8,0,,v9_confirmado
s4eerNhXf84,A,,0,0,0,1,3835,1,6,5,0,,v9_probable
S85DeDgWQSc,A,,0,0,0,1,5162,1,10,10,0,,v9_probable
SC6n6J8Bi58,A,,0,0,0,1,6420,1,10,13,0,,v9_probable
sezX7CSbXTg,A,,0,0,0,1,4943,1,8,8,0,,v9_probable
SoN0xClcS2E,B,v9,0,0,0,1,4316,1,7,8,0,,v9_confirmado
SpIlpGxuwFM,A,,0,0,0,1,4405,1,8,7,0,,v9_probable
sQsAGl7mSQs,A,,0,0,0,1,7353,1,12,15,0,,v9_probable
T048vs9p1h4,A,,0,0,0,1,6014,1,12,10,0,,v9_probable
t8JCvcnFX10,B,v9,0,0,0,1,4509,1,6,5,0,,v9_confirmado
tBavPTWewvI,A,,0,0,0,1,4082,1,6,7,0,,v9_probable
TBKmeolOdSw,B,v9,0,0,0,1,5500,1,12,11,0,,v9_confirmado
tVjrkpjWG5o,A,,0,0,0,1,4440,1,8,7,0,,v9_probable
twsGnp2X-aQ,A,,0,0,0,1,3857,1,7,5,0,,v9_probable
U1kY6nSS2YQ,A,,0,0,0,1,4365,1,12,4,0,,v9_probable
U1P8vZTEB-k,A,,0,0,0,1,6119,1,11,13,0,,v9_probable
u3ZwnulzLnU,A,,0,0,0,1,5255,1,9,11,0,,v9_probable
uBiaWJbTRsE,A,,0,0,0,1,5770,1,9,11,0,,v9_probable
uhrheMJTV4A,A,,0,0,0,1,5532,1,11,10,0,,v9_probable
Ujs9o3CXUTU,A,,0,0,0,1,4749,1,11,6,0,,v9_probable
uMX94Mn9u-4,A,,0,0,0,1,2774,1,10,0,0,,v9_probable
unF9tdYjqvU,A,,0,0,0,1,5073,1,11,9,0,,v9_probable
unFVfqj9cQ8,A,,0,0,0,1,3888,1,7,5,0,,v9_probable
uOSpWdAyrZo,A,,0,0,0,1,4826,1,8,8,0,,v9_probable
UPV6ggX4eSE,A,,0,0,0,1,5561,1,9,8,0,,v9_probable
UpVF8jMB4yY,B,v9,0,0,0,1,5215,1,11,10,0,,v9_confirmado
