video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
ErXwuwF2mRU,Video ErXwuwF2mRU,Uncategorized,10,9,0.9,1.0,0.9473684210526316,9,10,0.5555555555555556,0.5,0.5263157894736842,False
F4KDOGNpSoI,Video F4KDOGNpSoI,Uncategorized,14,14,1.0,1.0,1.0,16,19,0.9375,0.7894736842105263,0.8571428571428572,False
f5EJBUfGZtw,Video f5EJBUfGZtw,Uncategorized,10,10,0.8888888888888888,0.8888888888888888,0.8888888888888888,10,8,0.7,0.875,0.7777777777777777,False
Fd2c7NDYfpo,Video Fd2c7NDYfpo,Uncategorized,8,8,0.8571428571428571,0.8571428571428571,0.8571428571428571,8,12,0.75,0.5,0.6,False
Felt-hOU6kU,Video Felt-hOU6kU,Uncategorized,9,7,0.75,1.0,0.8571428571428571,8,4,0.5,1.0,0.6666666666666666,False
FfSNnH2bbNc,Video FfSNnH2bbNc,Uncategorized,8,8,0.875,0.875,0.875,9,19,0.8888888888888888,0.42105263157894735,0.5714285714285714,False
FftalZUxyiM,Video FftalZUxyiM,Uncategorized,8,9,1.0,0.8571428571428571,0.923076923076923,7,14,1.0,0.5,0.6666666666666666,False
FHdtOtznWuA,Video FHdtOtznWuA,Uncategorized,9,10,0.5555555555555556,0.5,0.5263157894736842,5,18,0.2,0.05555555555555555,0.08695652173913045,False
FmhL2334GIY,Video FmhL2334GIY,Uncategorized,10,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,11,0.4,0.36363636363636365,0.380952380952381,False
fOgb0Es-lVs,Video fOgb0Es-lVs,Uncategorized,8,7,0.6666666666666666,0.8,0.7272727272727272,8,6,0.625,0.8333333333333334,0.7142857142857143,False
fppIOuRMI2g,Video fppIOuRMI2g,Uncategorized,7,7,1.0,1.0,1.0,6,7,1.0,0.8571428571428571,0.923076923076923,False
FqCs3BD6qvo,Video FqCs3BD6qvo,Uncategorized,9,6,0.42857142857142855,0.6,0.5,7,10,0.2857142857142857,0.2,0.23529411764705882,False
fRv8sOUyhZw,Video fRv8sOUyhZw,Uncategorized,10,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,11,13,0.5454545454545454,0.46153846153846156,0.4999999999999999,False
fSV0u48sEVg,Video fSV0u48sEVg,Uncategorized,7,7,1.0,1.0,1.0,12,11,0.6666666666666666,0.7272727272727273,0.6956521739130435,False
ftIdBG-UgFY,Video ftIdBG-UgFY,Uncategorized,8,8,1.0,1.0,1.0,4,9,0.75,0.3333333333333333,0.46153846153846156,False
fTxvwVj02P0,Video fTxvwVj02P0,Uncategorized,8,8,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,10,0.8571428571428571,0.6,0.7058823529411764,False
G07keU4g-LU,Video G07keU4g-LU,Uncategorized,10,10,0.75,0.6666666666666666,0.7058823529411765,11,21,0.45454545454545453,0.23809523809523808,0.31249999999999994,False
G5tNCpmD2uQ,Video G5tNCpmD2uQ,Uncategorized,9,9,1.0,1.0,1.0,7,12,0.7142857142857143,0.4166666666666667,0.5263157894736842,False
gcgtLDB0cKA,Video gcgtLDB0cKA,Uncategorized,13,13,0.9090909090909091,0.9090909090909091,0.9090909090909091,12,18,0.9166666666666666,0.6111111111111112,0.7333333333333334,False
Gds8hl8dKuo,Video Gds8hl8dKuo,Uncategorized,8,8,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,12,0.7142857142857143,0.4166666666666667,0.5263157894736842,False
GJ1So_pbZWk,Video GJ1So_pbZWk,Uncategorized,10,9,0.7777777777777778,0.875,0.823529411764706,10,23,0.8,0.34782608695652173,0.48484848484848486,False
GoziWpmFCS0,Video GoziWpmFCS0,Uncategorized,8,4,0.75,1.0,0.8571428571428571,8,2,0.25,1.0,0.4,False
gpWR5JBC64A,Video gpWR5JBC64A,Uncategorized,9,8,0.6666666666666666,0.75,0.7058823529411765,7,6,0.42857142857142855,0.5,0.4615384615384615,False
gu54VVeDD10,Video gu54VVeDD10,Uncategorized,10,8,0.7,0.875,0.7777777777777777,11,9,0.6363636363636364,0.7777777777777778,0.7000000000000001,False
GxjMSvwcgvw,Video GxjMSvwcgvw,Uncategorized,8,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,7,13,0.7142857142857143,0.38461538461538464,0.5,False
H2fOkeXxpyw,Video H2fOkeXxpyw,Uncategorized,8,8,1.0,1.0,1.0,7,10,1.0,0.7,0.8235294117647058,False
H_S7CxtHgSM,Video H_S7CxtHgSM,Uncategorized,12,11,0.7,0.875,0.7777777777777777,12,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,False
hbz63Ve-eIY,Video hbz63Ve-eIY,Uncategorized,6,6,1.0,1.0,1.0,5,13,1.0,0.38461538461538464,0.5555555555555556,False
HcmEFZukA-Y,Video HcmEFZukA-Y,Uncategorized,9,9,1.0,1.0,1.0,9,15,0.8888888888888888,0.5333333333333333,0.6666666666666667,False
hf9nMAG9XoU,Video hf9nMAG9XoU,Uncategorized,7,8,1.0,0.8571428571428571,0.923076923076923,7,11,0.8571428571428571,0.5454545454545454,0.6666666666666665,False
hFx0EF9KEZU,Video hFx0EF9KEZU,Uncategorized,15,15,0.7,0.7777777777777778,0.7368421052631577,13,23,0.7692307692307693,0.43478260869565216,0.5555555555555555,False
hlVnmCfydIs,Video hlVnmCfydIs,Uncategorized,9,11,1.0,0.9,0.9473684210526316,12,13,0.9166666666666666,0.8461538461538461,0.8799999999999999,False
hMK2NJ-q9nc,Video hMK2NJ-q9nc,Uncategorized,10,6,0.5714285714285714,0.6666666666666666,0.6153846153846153,11,5,0.18181818181818182,0.4,0.25000000000000006,False
hnMQFnTGr3I,Video hnMQFnTGr3I,Uncategorized,11,9,1.0,1.0,1.0,11,24,1.0,0.4583333333333333,0.6285714285714286,False
hrhBOOrR5v0,Video hrhBOOrR5v0,Uncategorized,8,9,1.0,1.0,1.0,9,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,False
HwHVFWdczVw,Video HwHVFWdczVw,Uncategorized,10,9,0.8,0.8888888888888888,0.8421052631578948,10,9,0.8,0.8888888888888888,0.8421052631578948,False
i10a06IU4WQ,Video i10a06IU4WQ,Uncategorized,9,6,0.6666666666666666,0.8,0.7272727272727272,9,8,0.3333333333333333,0.375,0.35294117647058826,False
i4ueYgjVDCw,Video i4ueYgjVDCw,Uncategorized,13,10,0.5384615384615384,0.7,0.608695652173913,7,8,0.0,0.0,0.0,False
ihB2dRYLOOI,Video ihB2dRYLOOI,Uncategorized,11,12,0.9,0.8181818181818182,0.8571428571428572,5,7,0.4,0.2857142857142857,0.3333333333333333,False
iKYvG5aiIn8,Video iKYvG5aiIn8,Uncategorized,9,9,1.0,1.0,1.0,8,7,0.75,0.8571428571428571,0.7999999999999999,False
ilsJgwcAshE,Video ilsJgwcAshE,Uncategorized,10,9,0.4,0.3333333333333333,0.3636363636363636,10,9,0.4,0.4444444444444444,0.4210526315789474,False
INog0_9tCtY,Video INog0_9tCtY,Uncategorized,11,14,1.0,0.7,0.8235294117647058,11,19,0.7272727272727273,0.42105263157894735,0.5333333333333333,False
IP03SkGbP-U,Video IP03SkGbP-U,Uncategorized,8,8,0.875,0.875,0.875,9,7,0.5555555555555556,0.7142857142857143,0.6250000000000001,False
ItpY_KKR94k,Video ItpY_KKR94k,Uncategorized,9,8,0.8571428571428571,0.8571428571428571,0.8571428571428571,8,7,0.75,0.8571428571428571,0.7999999999999999,False
